ARS_ID,행정구명,정류소명,X좌표,Y좌표
17605,구로구,개봉푸르지오후문,126.8491645,37.50017011
17609,구로구,개봉푸르지오정문,126.8487501,37.50104575
17610,구로구,개봉1동사거리,126.845545,37.50141611
17612,구로구,신도림역.아이파크아파트,126.8884581,37.51060737
17613,구로구,동아2차아파트상가,126.8867871,37.5086078
17615,구로구,동진빌라.오정초등학교,126.8253388,37.49066893
17617,구로구,마젤란아파트.예인학원앞,126.8632963,37.50440863
17619,구로구,개봉한진아파트.기점,126.8520748,37.48614945
17620,구로구,정도주택,126.8516947,37.49410557
17621,구로구,신세기아파트,126.8534478,37.49390954
17622,구로구,브라운스톤,126.8531456,37.49089304
17623,구로구,개웅어린이공원,126.8532407,37.48995611
17624,구로구,거성슈퍼,126.8526923,37.48995768
17625,구로구,대림그린빌라,126.8518584,37.48990258
17626,구로구,에덴맨션,126.8514712,37.49271774
17629,구로구,구로보건소.금호새솔아파트,126.8905655,37.5003559
17631,구로구,구로공구상가,126.8774141,37.50471684
17632,구로구,한화비즈메트로,126.8935677,37.48064686
17633,구로구,한국산업기술시험원.디지털탑프라자,126.8973623,37.48161251
17634,구로구,구로디지털단지우체국,126.8981516,37.48298698
17635,구로구,JNK디지털타워,126.8974692,37.48209193
17636,구로구,에이스하이엔드타워2차.G밸리산업박물관,126.8957891,37.48081102
17638,구로구,에이스하이엔드타워1차,126.8929112,37.48122292
17647,구로구,천왕이펜하우스6단지후문,126.8427844,37.47790676
17648,구로구,천왕이펜하우스6단지후문,126.8426741,37.47820668
17650,구로구,연지타운2단지,126.8448667,37.48193475
17651,구로구,연지타운2단지,126.8452305,37.48210554
17652,구로구,남부교도소,126.8407003,37.47643247
17653,구로구,남부교도소,126.8409403,37.4762796
17655,구로구,지타워.G밸리산업박물관,126.8949415,37.48055799
17673,구로구,작은굴다리,126.8455401,37.5029617
17675,구로구,개봉1치안센터,126.8466956,37.50328877
17677,구로구,하이츠.영화.우방.한국현대,126.8749621,37.49686254
17678,구로구,영림중학교,126.891508,37.49767403
17682,구로구,유한공고.성공회대앞,126.8246024,37.48847996
17684,구로구,우성꿈동산.산업인아파트,126.8636136,37.50353479
17686,구로구,거성푸르뫼아파트입구,126.8463908,37.50132217
17689,구로구,삼성그린빌라,126.8516795,37.49048506
17690,구로구,SK허브수.구로우성APT,126.8738019,37.495684
17694,구로구,구로구민회관,126.8905573,37.49629912
17695,구로구,KEB하나은행,126.8957737,37.48449299
17697,구로구,동삼빌라,126.8239106,37.48726514
17700,구로구,천왕이펜하우스2단지,126.8379747,37.48565247
17701,구로구,구로우체국.이펜하우스3단지후문,126.8421453,37.48189581
17704,구로구,금강수목원아파트,126.8343983,37.48929374
17706,구로구,덕성빌라,126.8516375,37.49111488
17707,구로구,현대상선.구일중학교,126.8745919,37.4953253
17708,구로구,구로구청,126.88918,37.49468728
17709,구로구,오류동교회,126.8397315,37.49697722
17711,구로구,한일한의원,126.8644523,37.50193991
17712,구로구,항동하버라인10단지,126.825692,37.47976251
17713,구로구,큰굴다리,126.847276,37.49930666
17715,구로구,항동제일풍경채,126.816872,37.47589344
17716,구로구,선경아트빌라,126.851532,37.49200152
17717,구로구,구로중학교,126.890181,37.4932861
17718,구로구,항동생활체육관,126.8227065,37.47739966
17723,구로구,디지털단지오거리,126.8908072,37.47999562
17725,구로구,디지털1단지,126.8948984,37.4837488
17726,구로구,코오롱싸이언스밸리.베스트웨스턴구로호텔,126.8991865,37.48351825
17727,구로구,베스트웨스턴구로호텔코오롱싸이언스밸리,126.8992002,37.48330302
17728,구로구,유풍약국,126.8653108,37.50127317
17729,구로구,구민체육관후문,126.8537205,37.5074094
17730,구로구,개봉교입구,126.8561472,37.48595984
17731,구로구,알뜰슈퍼,126.8486712,37.49955265
17733,구로구,크로바마트,126.8514133,37.49354758
17734,구로구,동구로새마을금고,126.8921564,37.49110854
17737,구로구,동양미래대학교.구로성심병원,126.8664493,37.50029407
17738,구로구,진성아파트,126.8549532,37.50691982
17739,구로구,대원카센터,126.8546041,37.48512353
17740,구로구,낙원할인마트,126.8496003,37.49983678
17741,구로구,개봉사거리,126.8558272,37.49712051
17743,구로구,구로주공APT,126.8759202,37.49155739
17744,구로구,구로시장.남구로시장,126.8909462,37.48929152
17746,구로구,푸른수목원후문,126.8225268,37.4842023
17747,구로구,청구아파트.동아한신아파트,126.8644775,37.50050808
17748,구로구,덕의공원,126.8559436,37.50657321
17749,구로구,한진APT후문,126.8539078,37.48381246
17750,구로구,개봉1동주민센터,126.8510595,37.50031802
17751,구로구,롯데시티호텔구로,126.8979937,37.48509049
17752,구로구,롯데시티호텔구로,126.8970039,37.48540047
17754,구로구,알뜰슈퍼,126.8799022,37.50838778
17755,구로구,성락교회크리스천선교센터,126.8821402,37.50941416
17772,구로구,구일우성아파트,126.8757444,37.48982889
17773,구로구,구로3동주민센터.삼성래미안아파트,126.8905109,37.48741064
17775,구로구,신도림역,126.8877203,37.50854787
17792,구로구,고척1동주민센터.한효아파트,126.8624422,37.50083373
17801,구로구,금강수목원아파트,126.8344573,37.48945826
17802,구로구,항동하버라인4단지,126.8254007,37.48190379
